UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Debt service ratio,External borrowing as a % of total income,General funds as a % of total income,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Ratio of current assets to current liabilities,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Unrestricted reserves as a % of total income
10000975,Buckinghamshire New University,England,2016/17,South East,112.0,,,0.456,,0.037000000000000005,137.0,,0.048,,0.8,0.536,,-0.067,,0.327
10000975,Buckinghamshire New University,England,2017/18,South East,149.0,,,0.415,,0.097,152.0,,0.077,,2.7,0.535,,-0.068,,0.435
10000975,Buckinghamshire New University,England,2018/19,South East,105.0,105.0,,0.388,,0.122,167.0,167.0,0.086,0.086,2.5,0.526,0.526,-0.03,-0.03,0.295
10000975,Buckinghamshire New University,England,2019/20,South East,29.0,29.0,,0.353,,0.068,95.0,95.0,0.019,0.019,2.4,0.269,0.269,0.035,0.035,0.077
10000975,Buckinghamshire New University,England,2020/21,South East,54.0,55.0,5.2,0.264,,0.118,109.0,111.0,0.021,0.022,2.8,0.236,0.214,0.023,0.045,0.14400000000000002
10000975,Buckinghamshire New University,England,2021/22,South East,171.0,176.0,8.8,0.229,,0.14300000000000002,140.0,145.0,0.023,0.023,2.4,0.241,0.213,0.045,0.073,0.448
10000975,Buckinghamshire New University,England,2022/23,South East,227.0,228.0,4.3,0.199,,0.068,118.0,119.0,0.023,0.023,2.8,0.233,0.225,0.043,0.051,0.594
10000975,Buckinghamshire New University,England,2023/24,South East,223.0,223.0,3.9,0.187,,0.067,105.0,104.0,0.028,0.028,2.1,0.248,0.25,0.02,0.017,0.6
10001143,Canterbury Christ Church University,England,2015/16,South East,221.0,,,0.35200000000000004,0.0,0.157,131.0,,0.065,,2.0,0.528,,0.054000000000000006,,0.57
10001143,Canterbury Christ Church University,England,2016/17,South East,267.0,,,0.335,,0.07400000000000001,111.0,,0.058,,1.9,0.563,,0.029,,0.7090000000000001
10001143,Canterbury Christ Church University,England,2017/18,South East,263.0,,,0.324,,0.146,110.0,,0.056,,1.4,0.5760000000000001,,-0.009000000000000001,,0.725
10001143,Canterbury Christ Church University,England,2018/19,South East,256.0,256.0,,0.315,,0.069,58.0,58.0,0.055,0.055,1.1,0.581,0.581,-0.034,-0.034,0.721
10001143,Canterbury Christ Church University,England,2019/20,South East,118.0,118.0,,0.627,,0.067,88.0,88.0,0.056,0.056,0.8,0.617,0.617,-0.058,-0.058,0.341
10001143,Canterbury Christ Church University,England,2020/21,South East,128.0,128.0,4.2,0.45,,0.104,84.0,84.0,0.064,0.064,1.1,0.488,0.488,0.07200000000000001,0.07200000000000001,0.322
10001143,Canterbury Christ Church University,England,2021/22,South East,239.0,239.0,5.2,0.284,,0.112,69.0,69.0,0.043,0.043,1.1,0.426,0.426,-0.029,-0.029,0.67
10001143,Canterbury Christ Church University,England,2022/23,South East,194.0,194.0,1.9,0.219,,0.08199999999999999,81.0,81.0,0.04,0.04,1.1,0.333,0.333,0.013,0.012,0.522
10001143,Canterbury Christ Church University,England,2023/24,South East,168.0,167.0,2.2,0.16899999999999998,,0.051,69.0,69.0,0.031,0.031,1.1,0.301,0.307,0.023,0.017,0.447
10001264,Central School of Ballet,England,2021/22,London,450.0,450.0,-0.6,1.182,,-0.034,258.0,258.0,0.004,0.004,1.4,0.67,0.67,-0.227,-0.227,0.305
10001264,Central School of Ballet,England,2022/23,London,195.0,195.0,-0.3,1.024,,-0.009000000000000001,200.0,200.0,0.016,0.016,1.5,0.604,0.604,-0.278,-0.278,0.675
10001264,Central School of Ballet,England,2023/24,London,251.0,251.0,-146.5,0.853,,0.08199999999999999,219.0,219.0,0.023,0.023,1.4,0.544,0.544,-0.127,-0.127,0.77
10001282,University of Northumbria at Newcastle,England,2015/16,North East,133.0,,,0.285,0.0,0.085,106.0,,0.057,,1.3,0.57,,0.002,,0.363
10001282,University of Northumbria at Newcastle,England,2016/17,North East,197.0,,,0.27,,0.102,79.0,,0.041,,1.0,0.5539999999999999,,0.018000000000000002,,0.53
10001282,University of Northumbria at Newcastle,England,2017/18,North East,237.0,,,0.249,,0.112,84.0,,0.044,,1.1,0.562,,0.02,,0.636
10001282,University of Northumbria at Newcastle,England,2018/19,North East,166.0,178.0,,0.238,,0.08,71.0,77.0,0.045,0.048,1.2,0.653,0.581,-0.061,0.011,0.482
10001282,University of Northumbria at Newcastle,England,2019/20,North East,27.0,27.0,,0.206,,0.114,98.0,99.0,0.039,0.04,1.5,0.585,0.574,0.021,0.032,0.068
10001282,University of Northumbria at Newcastle,England,2020/21,North East,99.0,104.0,7.1,0.177,,0.141,130.0,136.0,0.076,0.08,1.8,0.596,0.5529999999999999,0.008,0.051,0.265
