UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Net cash inflow from operating activities as a % of total income,Surplus/(deficit) as a % of total income,Net cash inflow from operating activities as a % of total income - Outlier,Surplus/(deficit) as a % of total income - Outlier,Outlying value
10003956,Liverpool Hope University,England,2015/16,North West,0.185,0.08800000000000001,False,False,False
10003956,Liverpool Hope University,England,2016/17,North West,0.155,0.07,False,False,False
10003956,Liverpool Hope University,England,2017/18,North West,0.171,0.055,False,False,False
10003956,Liverpool Hope University,England,2018/19,North West,0.16399999999999998,0.032,False,False,False
10003956,Liverpool Hope University,England,2019/20,North West,0.172,0.061,False,False,False
10003956,Liverpool Hope University,England,2020/21,North West,0.287,0.108,True,False,True
10003956,Liverpool Hope University,England,2021/22,North West,0.198,0.059,False,False,False
10003956,Liverpool Hope University,England,2022/23,North West,0.078,0.04,False,False,False
10003956,Liverpool Hope University,England,2023/24,North West,0.0,-0.011,False,False,False
10003957,Liverpool John Moores University,England,2015/16,North West,0.154,0.095,False,False,False
10003957,Liverpool John Moores University,England,2016/17,North West,0.09,0.01,False,False,False
